Age,nearest_mrt,no_stores,Value,Area
32.0,84.87881999999999,10,37.9,Area_1
19.5,306.5947,9,42.2,Area_1
13.3,561.9845,5,47.3,Area_1
13.3,561.9845,5,54.8,Area_1
5.0,390.5684,5,43.1,Area_1
7.1,2175.03,3,32.1,Area_3
34.5,623.4731,7,40.3,Area_1
20.3,287.6025,6,46.7,Area_1
31.7,2000.0,1,18.8,Area_3
17.9,1783.18,3,22.1,Area_3
34.8,405.2134,1,41.4,Area_1
6.3,90.45606,9,58.1,Area_1
13.0,492.2313,5,39.3,Area_2
20.4,2469.645,4,23.8,Area_3
13.2,1164.838,4,34.3,Area_1
35.7,579.2083,2,50.5,Area_1
0.0,292.9978,6,70.1,Area_1
17.7,350.8515,1,37.4,Area_1
16.9,368.1363,8,42.3,Area_2
1.5,23.382839999999998,7,47.7,Area_2
4.5,2275.877,3,29.3,Area_3
10.5,279.1726,7,51.6,Area_1
14.7,1360.139,1,24.6,Area_2
10.1,279.1726,7,47.9,Area_1
39.6,480.6977,4,38.8,Area_1
29.3,1487.868,2,27.0,Area_1
3.1,383.8624,5,56.2,Area_1
10.4,276.449,5,33.6,Area_2
19.2,557.4780000000001,4,47.0,Area_1
7.1,451.2438,5,57.1,Area_1
25.9,2000.0,0,22.1,Area_3
29.6,769.4034,7,25.0,Area_1
37.9,488.5727,1,34.2,Area_1
16.5,323.655,6,49.3,Area_1
15.4,205.36700000000002,7,55.1,Area_1
13.9,2000.0,0,27.3,Area_1
14.7,1935.009,2,22.9,Area_3
12.0,1360.139,1,25.3,Area_2
3.1,577.9615,6,47.7,Area_1
16.2,289.3248,5,46.2,Area_1
13.6,2000.0,0,15.9,Area_3
16.8,2000.0,0,18.2,Area_3
36.1,519.4617,5,34.7,Area_2
34.4,512.7871,6,34.1,Area_1
2.7,533.4762,4,53.9,Area_1
36.6,488.8193,8,38.3,Area_2
21.7,463.9623,9,42.0,Area_2
35.9,640.7391,3,61.5,Area_1
24.2,2000.0,0,13.4,Area_3
29.4,2000.0,1,13.2,Area_3
21.7,512.5487,4,44.2,Area_1
31.3,1758.406,1,20.7,Area_2
32.1,1438.579,3,27.0,Area_1
13.3,492.2313,5,38.9,Area_2
16.1,289.3248,5,51.7,Area_1
31.7,1160.632,0,13.7,Area_2
33.6,371.2495,8,41.9,Area_1
3.5,56.47425,7,53.5,Area_2
30.3,2000.0,1,22.6,Area_3
13.3,336.0532,5,42.4,Area_2
11.0,1931.207,2,21.3,Area_3
5.3,259.6607,6,63.2,Area_1
17.2,2175.877,3,27.7,Area_3
2.6,533.4762,4,55.0,Area_1
17.5,995.7554,0,25.3,Area_2
40.1,123.7429,8,44.3,Area_1
1.0,193.5845,6,50.7,Area_2
8.5,104.8101,5,56.8,Area_2
30.4,464.223,6,36.2,Area_1
12.5,561.9845,5,42.0,Area_1
6.6,90.45606,9,59.0,Area_1
35.5,640.7391,3,40.8,Area_1
32.5,424.5442,8,36.3,Area_1
13.8,2000.0,0,20.0,Area_3
6.8,379.5575,10,54.4,Area_1
12.3,1360.139,1,29.5,Area_2
35.9,616.4004,3,36.8,Area_1
20.5,2185.1279999999997,3,25.6,Area_3
38.2,552.4371,2,29.8,Area_1
18.0,1414.8370000000002,1,26.5,Area_2
11.8,533.4762,4,40.3,Area_1
